state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,hourly_mean,annual_mean,total_employees,labels
PA,39.95,-75.17,10011,Philadelphia,Invite Media,2007-02-01,2022-04-26,2007-12-01,2009-12-01,0.83,2.83,1.09,3.34,17,3,5000000,31.76,66040,66040,1
CA,37.41,-122.09,94043,Mountain View,UpMo,2011-01-01,2013-07-01,2009-12-13,2011-08-17,-1.05,0.62,-1.36,1.66,11,2,3700000,61.65,128220,128220,0
CA,37.43,-121.89,95035,Milpitas,Kolorific,2003-01-01,2012-07-07,2007-01-05,2007-01-05,4.01,4.01,,,0,1,7000000,47.64,99100,99100,0
MA,42.36,-71.1,2142,Cambridge,LocaModa,2007-01-01,2022-04-26,2007-09-18,2011-03-25,0.71,4.23,2.67,3.06,8,3,7900000,45.25,94116.66,94117,1
TX,30.28,-97.75,78701,Austin,MPOWER Mobile,2005-01-01,2012-06-08,2009-10-28,2009-10-28,4.82,4.82,0.25,0.25,1,1,5000000,25.39,52820,52820,0
NY,37.48,-122.17,10016,New York,Jingle Networks,2005-09-01,2022-04-26,2005-10-01,2009-12-28,0.08,4.33,3.66,5.61,12,7,88651133,33.07,68780,68780,1
MA,37.42,-121.89,95035,Milpitas,Virident Systems,2006-01-01,2022-04-26,2007-05-01,2013-01-28,1.33,7.08,4.87,7.01,25,8,129677153,61.65,128220,128220,1
CA,34.05,-118.24,90017,Los Angeles,ItsGoinOn,2010-05-01,2011-11-01,2011-01-01,2011-01-01,0.67,0.67,0,0.76,3,1,100000,40.82,84910,84910,0
CO,39.75,-105,80202,Denver,mSnap,2005-06-01,2022-04-26,2006-06-01,2006-06-01,1,1,3.81,4.92,6,1,5000000,27.81,57840,57840,1
GA,34.06,-84.17,30097,Duluth,Biofisica,2000-01-01,2012-04-26,2006-10-31,2008-04-21,6.84,8.31,,,5,2,7300000,37.34,77658,77658,0
CA,37.41,-122.09,94043,Mountain View,Ardian,2003-01-01,2022-04-26,2005-01-01,2009-03-23,2,6.23,4,10.76,8,3,64080000,45.62,94894,94894,1
CA,37.79,-122.39,94105,San Francisco,Canopy Financial,2004-01-01,2009-08-27,2008-01-01,2009-10-01,4,5.75,5.92,6,6,4,89500000,40.18,83574.16,83574,0
CA,37.79,-122.41,94102,San Francisco,Kyte,2006-12-01,2022-04-26,2007-07-01,2012-03-01,0.58,5.25,3.09,4.17,11,4,23350000,40.82,84910,84910,1
MA,42.39,-71.26,2451,Waltham,Ounce Labs,2002-10-01,2022-04-26,2006-06-08,2008-09-16,3.69,5.96,,,7,2,13500000,45.78,95215.79,95216,1
CA,37.53,-122.25,94065,Redwood City,PacketHop,2002-01-01,2013-01-04,2005-08-08,2005-08-08,3.6,3.6,3,3,2,1,10000000,39.32,81790,81790,0
CA,37.42,-122.14,94306,Palo Alto,Immunet Corporation,2008-07-01,2022-04-26,2009-11-01,2009-11-01,1.34,1.34,1.35,1.35,3,1,2000000,48.78,101468.42,101468,1
CA,37.77,-122.41,94103,San Francisco,PopularMedia,2003-01-01,2022-04-26,2007-02-01,2008-07-28,4.09,5.58,4,4,8,2,12250000,49.91,103816.66,103817,1
CA,37.78,-122.42,94105,San Francisco,Miyowa,2003-04-14,2022-04-26,2006-09-04,2008-05-08,3.39,5.07,5.72,8.73,3,2,11725600,32.57,67750,67750,1
MA,42.5,-71.2,1803,Burlington,Intrusic,2001-01-01,2007-02-19,2005-04-25,2006-10-30,4.32,5.83,,,1,2,16000000,45.78,95215.79,95216,0
WA,47.6,-122.33,98103,Seattle,Dashwire,2006-08-11,2022-04-26,2009-01-31,2010-12-28,2.48,4.38,3.39,4.99,10,3,5056559,32.03,66610,66610,1
CA,37.78,-122.42,94108,San Francisco,Pure Digital Technologies,2001-09-01,2022-04-26,2004-01-01,2008-08-18,2.33,6.97,4,8.3,11,3,68200000,38.38,79840,79840,1
CA,37.79,-122.28,94501,Alameda,Voxify,2001-01-01,2022-04-26,2005-02-01,2010-04-21,4.09,9.31,6,6,5,3,33000000,61.65,128220,128220,1
NC,35.99,-78.9,27701,Durham,EvoApp,2009-01-01,2013-01-01,2010-10-15,2012-04-20,1.79,3.3,2.08,2.33,8,3,3352194,41.48,86284.55,86285,0
NY,40.75,-73.99,10001,New York,Visual Revenue,2010-03-01,2022-04-26,2011-07-28,2012-01-26,1.41,1.91,-0.16,1.84,5,2,2212000,50.04,104090.91,104091,1
CA,37.48,-122.23,94063,Redwood City,Calibra Medical,2004-01-01,2022-04-26,2009-11-24,2011-04-15,5.9,7.29,,,1,4,19800000,45.62,94894,94894,1
MA,42.3,-71.21,2494,Needham,HiWired,2004-01-01,2022-04-26,2008-01-01,2008-01-02,4,4.01,4,4,2,2,14000000,45.78,95215.79,95216,1
FL,26.11,-80.42,33327,Weston,DateMyFamily.com,2011-11-11,2013-01-01,2011-12-01,2011-12-01,0.05,0.05,0.07,0.4,4,1,100000,21.87,45490,45490,0
CA,37.4,-122.14,94304,Palo Alto,Hyperic,2004-01-01,2022-04-26,2006-05-10,2007-06-05,2.36,3.43,3,5.34,4,2,9900000,48.78,101468.42,101468,1
CA,37.78,-122.42,94104,San Francisco,Optimal,2008-01-01,2022-04-26,2008-01-01,2013-01-22,0,5.06,5.01,5.79,10,3,7600000,49.91,103816.66,103817,1
CA,34.43,-119.72,93101,Santa Barbara,SendMeHome.com,2008-07-01,2012-06-04,2008-07-01,2008-07-01,0,0,0.74,0.74,2,1,50000,40.82,84910,84910,0
CA,37.45,-122.16,94301,Palo Alto,Q-magic,2007-02-01,2011-11-29,2007-01-01,2007-01-01,-0.08,-0.08,,,3,1,650000,39.32,81790,81790,0
CA,34.01,-118.49,90034,Los Angeles,Geodelic Systems,2008-01-01,2011-01-01,2008-12-01,2010-09-23,0.92,2.73,2.42,2.73,8,3,10500000,32.57,67750,67750,0
CA,37.39,-121.97,95054,Santa Clara,Attune Systems,1999-01-01,2009-02-12,2006-06-27,2006-11-14,7.49,7.87,7.01,7.01,6,2,18000000,38.38,79840,79840,0
CA,37.39,-122.09,94040,Mountain View,Avega Systems,2005-01-01,2012-01-01,2007-04-01,2010-01-13,2.25,5.04,,,2,2,9500000,38.38,79840,79840,0
MD,39.23,-76.82,21045,Columbia,Heartscape,2000-01-01,2009-10-15,2007-04-24,2007-04-24,7.32,7.32,5.01,5.01,6,1,16980999,43.05,89546,89546,1
CA,37.42,-122.09,94043,Mountain View,PeerMe,2004-01-01,2009-02-03,2005-01-01,2005-01-01,1,1,1.16,3.57,2,1,5000000,40.82,84910,84910,0
WA,47.66,-117.42,99202,SPOKANE,Pacinian,2007-04-01,2012-01-01,2008-12-01,2008-12-01,1.67,1.67,,,3,1,350000,38.41,79883.34,79883,0
WA,39.78,-100.45,98104,Seattle,Kiha Software,2008-01-01,2011-08-01,2010-10-28,2010-10-28,2.82,2.82,0,2.82,1,1,20000000,49.3,102540.55,102541,0
MA,42.37,-71.12,2138,Cambridge,Vlingo,2006-06-01,2022-04-26,2006-12-01,2009-09-16,0.5,3.3,2.07,7,18,3,26500000,32.33,67240,67240,1
MD,39.41,-77.41,21703,Frederick,Cerona Networks,2002-01-01,2012-01-18,2006-04-21,2006-04-21,4.3,4.3,,,0,1,2600000,36.11,75112.5,75113,0
TX,30.28,-97.75,78701,Austin,Hurricane Party,2010-05-01,2012-07-01,2010-05-01,2010-05-01,0,0,0.27,0.86,5,1,20000,25.39,52820,52820,0
NY,40.73,-74,10012,New York,Blip,2005-05-01,2022-04-26,2006-03-01,2012-07-30,0.83,7.25,8.01,8.4,23,7,27300000,38.47,80030,80030,1
CA,32.9,-117.2,92121,San Diego,Avaak,2004-01-01,2022-04-26,2008-10-03,2010-03-22,4.76,6.22,3.67,6.22,2,2,17000000,32.57,67750,67750,1
ME,43.64,-70.92,4095,West Newfield,Newfield Design,2008-01-01,2013-06-01,2012-05-14,2012-05-14,4.37,4.37,,,0,1,662000,19.86,41303.33,41303,0
NY,40.74,-74,10011,New York,Savored,2010-01-01,2022-04-26,2010-01-01,2011-01-10,0,1.02,2.01,2.73,12,2,3750000,19.69,40949.23,40949,1
NY,40.75,-73.95,11101,Long Island City,Songza,2007-11-01,2022-04-26,2011-09-19,2013-09-10,3.88,5.86,2.84,6.11,9,2,6700000,30.18,62775,62775,1
CA,37.54,-122.33,94065,Redwood City,Bigfoot Networks,2006-01-01,2022-04-26,2006-03-06,2009-11-17,0.18,3.88,2,4.47,12,3,20750000,38.38,79840,79840,1
CA,37.79,-122.4,94105,San Francisco,Kongregate,2006-01-01,2022-04-26,2007-03-01,2013-07-02,1.16,7.5,,,5,4,19000000,40.82,84910,84910,1
CA,37.79,-122.4,94104,San Francisco,Kiptronic,2005-05-01,2022-04-26,2005-11-01,2008-06-05,0.5,3.1,2.24,3.76,10,3,7300000,49.91,103816.66,103817,1
WA,47.58,-122.14,98007,Bellevue,Likewise Software,2004-11-01,2022-04-26,2009-04-30,2009-04-30,4.5,4.5,,,4,1,10000000,49.3,102540.55,102541,1
CA,37.45,-122.19,94025,Menlo Park,Jaxtr,2005-10-01,2022-04-26,2007-07-01,2008-06-23,1.75,2.73,1.75,6.15,16,3,21500000,32.57,67750,67750,1
CA,33.02,-117.08,90275,Solana Beach,Metaplace,2006-07-01,2022-04-26,2007-01-01,2010-03-15,0.5,3.71,2.99,4.02,5,3,9400000,40.82,84910,84910,1
CA,37.78,-122.39,94105,San Francisco,Jambool,2006-08-01,2022-04-26,2008-08-01,2009-08-17,2,3.05,3.58,5.48,9,2,6000000,40.18,83574.16,83574,1
GA,33.79,-84.39,30309,NW Atlanta,Zipcar,2000-10-31,2022-04-26,2002-12-20,2010-12-15,2.14,10.13,10.42,12.19,35,4,60704370,27.71,57638.57,57639,1
CA,37.78,-122.39,94107,San Francisco,Hitpost,2009-04-01,2022-04-26,2010-01-01,2012-04-26,0.75,3.07,3.92,4.5,16,3,2000000,14.83,30840,30840,1
CA,37.78,-122.39,94107,San Francisco,Home-Account,2008-11-01,2022-04-26,2009-04-16,2009-07-16,0.45,0.7,0.58,1.74,5,2,1000000,40.18,83574.16,83574,1
PA,40.01,-75.24,19004,Bala Cynwyd,PayParade Pictures,2007-10-17,2012-01-27,2008-12-01,2009-03-13,1.13,1.41,0.79,1.4,3,2,200000,25.77,53600,53600,0
CA,37.79,-122.4,94108,San Francisco,kwiry,2006-01-01,2009-04-23,2008-03-20,2008-03-20,2.22,2.22,0.75,3.42,5,1,1000000,32.57,67750,67750,0
CA,37.78,-122.39,94107,San Francisco,imeem,2003-11-01,2022-04-26,2004-09-01,2009-08-01,0.84,5.75,4.98,7.03,13,5,24750000,27.5,57190,57190,1
IL,42.06,-87.69,60201,Evanston,Amadesa,2005-05-15,2013-07-01,2007-12-03,2011-10-05,2.55,6.39,6.64,6.64,15,2,12800000,40.75,84754.73,84755,0
CA,37.43,-122.1,94043,Mountain View,Cast Iron Systems,2001-01-01,2022-04-26,2005-03-28,2007-07-29,4.24,6.58,7,7,10,2,30500000,61.65,128220,128220,1
CA,33.13,-117.25,92010,Carlsbad,Aptera,2003-01-01,2011-12-01,2008-07-25,2011-07-13,5.57,8.53,5.61,7.84,3,3,36300000,31.05,64584.29,64584,0
CA,37.78,-122.42,94111,San Francisco,RentJuice,2008-01-01,2022-04-26,2010-03-04,2011-01-31,2.17,3.08,3.09,4.78,7,3,6693782,40.15,83515,83515,1
CA,32.9,-117.19,92121,San Diego,Verari Systems,1996-01-01,2010-01-01,2007-06-05,2007-06-05,11.43,11.43,,,1,1,20000000,38.38,79840,79840,0
CA,37.8,-122.4,94017,San Francisco,Vizu Corporation,2005-02-14,2022-04-26,2006-02-20,2012-04-09,1.02,7.15,5.7,8.18,10,4,13075000,49.91,103816.66,103817,1
CA,37.39,-122.08,94041,Mountain View,Zing Systems,2007-06-01,2022-04-26,2006-12-01,2007-01-01,-0.5,-0.41,-0.5,5.77,10,2,26000000,40.82,84910,84910,1
CA,32.96,-117.19,92130,San Diego,Elevation Pharmaceuticals,2007-01-01,2022-04-26,2010-01-21,2012-01-04,3.06,5.01,,,2,4,89400001,45.62,94894,94894,1
CA,37.42,-122.1,94303,Palo Alto,Punch Entertainment,2005-05-10,2012-04-16,2006-02-27,2006-02-27,0.8,0.8,5.32,5.32,4,1,1200000,48.78,101468.42,101468,0
CA,37.78,-122.42,94108,San Francisco,Ecast,1999-01-01,2012-02-12,2008-05-07,2011-05-26,9.35,12.41,7.01,11.38,9,3,30300000,40.82,84910,84910,0
TX,32.95,-96.71,75081,Richardson,Sirific Wireless,2000-01-01,2022-04-26,2007-02-12,2007-02-12,7.12,7.12,,,3,1,18800000,51.57,107270,107270,1
VA,38.97,-77.39,20170,Herndon,ZoomSafer,2009-01-01,2022-04-26,2009-03-01,2011-03-07,0.16,2.18,1.51,2.18,3,4,3350000,26.42,54960,54960,1
NJ,40.94,-74.08,7652,Paramus,AkaRx,2005-01-01,2022-04-26,2010-01-07,2010-01-07,5.02,5.02,,,1,1,26100000,45.25,94110,94110,1
CA,37.43,-122.14,94306,Palo Alto,Buysight,2008-01-01,2022-04-26,2008-11-04,2012-03-21,0.84,4.22,0.76,4.93,18,3,24030000,49.91,103816.66,103817,1
CA,37.76,-122.4,94110,San Francisco,TripIt,2006-10-01,2022-04-26,2007-04-01,2010-03-04,0.5,3.42,1.99,5.96,14,3,13100000,22.35,46470,46470,1
NY,40.76,-73.99,10010,New York,Pinch Media,2008-04-01,2022-04-26,2008-05-01,2010-01-06,0.08,1.77,0.3,5.01,6,3,560001,44.28,92095.55,92096,1
MA,42.37,-71.08,2210,Boston,Jumptap,2005-01-01,2022-04-26,2005-03-01,2012-07-02,0.16,7.5,7.05,8.62,45,7,121500000,32.33,67240,67240,1
CA,37.41,-121.94,95134,San Jose,WiChorus,2005-01-01,2022-04-26,2005-12-22,2008-11-04,0.97,3.84,2,2,18,4,42500000,32.57,67750,67750,1
NC,36,-78.9,27713,Durham,Hatteras Networks,2000-01-01,2022-04-26,2005-06-08,2006-06-01,5.44,6.42,6.01,6.01,26,2,36000000,38.93,80972.63,80973,1
CA,37.79,-122.4,94111,San Francisco,Focus,2005-08-01,2012-09-15,2008-03-06,2008-03-06,2.6,2.6,2.92,5.48,7,1,12170000,61.65,128220,128220,0
NY,40.73,-73.99,10005,New York,easy2comply (Dynasec),2002-01-01,2022-04-26,2007-10-02,2007-10-02,5.75,5.75,8.01,9.84,4,1,1000000,44.28,92095.55,92096,1
CA,38.89,-77,94107,San Francisco,Socialize,2008-07-01,2022-04-26,2011-11-01,2012-06-07,3.34,3.94,-2.5,4.72,5,3,1820000,32.57,67750,67750,1
WA,30.63,-86.98,98033,Kirkland,Clearwire,2003-10-01,2022-04-26,2008-05-06,2013-02-27,4.6,9.42,5.26,9.78,19,4,5700000000,32.03,66610,66610,1
NY,40.75,-73.99,10001,New York,Exclusively.in,2010-01-01,2022-04-26,2010-11-03,2011-05-29,0.84,1.41,1.64,1.64,4,2,18800000,44.08,91690,91690,1
CA,37.41,-122.09,94043,Mountain View,Avidia,2003-01-01,2022-04-26,2005-05-06,2006-05-09,2.35,3.35,,,3,2,72300000,49.91,103816.66,103817,1
MA,42.48,-71.15,1801,Woburn,Octavian,2003-01-01,2011-02-01,2005-06-01,2007-10-10,2.42,4.78,4,4,2,2,15000000,45.78,95215.79,95216,0
MA,42.5,-71.2,1803,Burlington,Airwide Solutions,2004-01-01,2022-04-26,2006-01-25,2006-01-25,2.07,2.07,-1.92,-1.92,3,1,25000000,45.78,95215.79,95216,1
NY,40.73,-73.99,10013,New York City,Pixable,2009-03-12,2022-04-26,2010-11-10,2011-04-22,1.67,2.11,2.3,3.55,23,2,6100000,30.65,63740,63740,1
CA,37.86,-122.49,94939,Larkspur,mFoundry,2004-01-01,2022-04-26,2006-03-21,2011-12-05,2.22,7.93,1.67,9.09,7,3,40300000,32.57,67750,67750,1
WA,47.64,-122.19,98104,Seattle,Livemocha,2007-09-01,2022-04-26,2008-01-01,2013-02-25,0.33,5.49,2.75,5.59,14,5,19389998,31.74,66013.34,66013,1
CA,37.63,-122.41,94066,San Bruno,IronPort Systems,2000-01-01,2022-04-26,2002-06-25,2004-10-25,2.48,4.82,5.59,11.95,21,2,61500000,38.38,79840,79840,1
CA,37.78,-122.42,94108,San Francisco,Crowdcast,2007-01-01,2022-04-26,2010-06-10,2010-06-10,3.44,3.44,4,5.72,6,1,6000000,48.78,101468.42,101468,1
MA,42.36,-71.06,2114,Boston,Where,2004-01-01,2022-04-26,2003-12-31,2009-01-01,0,5.01,4.95,7.37,23,4,19100000,32.33,67240,67240,1
NY,40.76,-73.99,10003,New York,Pictela,2008-10-17,2022-04-26,2009-01-06,2010-11-06,0.22,2.05,0.04,3.92,8,4,3499997,57.19,118953.34,118953,1
CA,33.69,-117.83,92618,Irvine,Axiom Microdevices,2002-01-01,2022-04-26,2007-02-08,2007-02-08,5.11,5.11,,,3,1,25000000,47.64,99100,99100,1
CA,34.02,-118.49,90404,Santa Monica,ShoeDazzle,2009-03-01,2022-04-26,2009-11-19,2012-10-03,0.72,3.59,2.84,4.02,17,4,66000000,46.76,97270,97270,1
NY,40.75,-73.98,10016,New York,LiftDNA,2009-09-01,2022-04-26,2011-02-01,2011-02-11,1.42,1.45,1.66,1.66,5,2,1000000,57.19,118953.34,118953,1
CA,37.42,-122.14,94306,Palo Alto,Onavo,2010-01-01,2022-04-26,2011-05-01,2012-01-24,1.33,2.06,3.25,3.78,11,2,13000000,32.57,67750,67750,1
MA,42.38,-71.24,2451,Waltham,Pyxis Mobile,1998-01-01,2012-08-01,2005-09-09,2012-01-10,7.69,14.03,12.5,14.03,3,3,24150000,45.78,95215.79,95216,0
CA,37.35,-121.99,95051,Santa Clara,Link_A_Media Devices,2004-01-01,2013-01-01,2009-11-02,2012-03-20,5.84,8.22,,,4,3,47218498,47.64,99100,99100,0
NV,35.97,-115.11,89052,Henderson,Trooval,2008-09-01,2011-02-01,2010-04-07,2010-11-05,1.6,2.18,0.08,0.08,2,2,2387481,38,79048.18,79048,0
MA,42.35,-71.08,2116,Boston,Compete,2000-01-01,2022-04-26,2000-11-01,2007-08-01,0.84,7.59,11.59,13.59,35,4,33000000,54.48,113320,113320,1
VA,38.87,-77.37,22102,McLean,Rollstream,2005-01-01,2022-04-26,2007-09-03,2008-11-18,2.67,3.88,4,7.32,4,2,7500000,45.16,93943.69,93944,1
CA,37.4,-121.94,95134,San Jose,NeoGuide Systems,2000-01-01,2022-04-26,2006-09-29,2006-09-29,6.75,6.75,4,4,3,1,25000000,45.62,94894,94894,1
CA,37.39,-121.97,95054,Santa Clara,Accept Software,2002-01-01,2022-04-26,2005-09-16,2010-12-14,3.71,8.96,4,4,7,4,25305000,48.78,101468.42,101468,1
CA,37.38,-121.98,95054,Santa Clara,Mimosa Systems,2003-08-29,2022-04-26,2005-12-05,2010-01-12,2.27,6.38,,,8,6,53816776,48.78,101468.42,101468,1
CA,37.39,-122.07,94041,Mountain View,Cloudmeter,2007-04-01,2022-04-26,2012-04-27,2012-04-27,5.08,5.08,4.76,6.05,7,1,5000000,61.65,128220,128220,1
CA,34.02,-118.45,90405,Santa Monica,TeleFlip,2004-01-01,2008-01-01,2006-08-01,2008-01-01,2.58,4,2.03,4.62,5,2,4900000,32.57,67750,67750,0
WA,47.61,-122.19,98004,Bellevue,MessageGate,2001-01-01,2012-07-16,2005-04-18,2005-04-18,4.3,4.3,5,5,3,1,5000000,49.3,102540.55,102541,0
NY,40.83,-73.47,11797,Woodbury,Cloverleaf Communications,2001-01-01,2022-04-26,2005-06-28,2005-06-28,4.49,4.49,,,2,1,11000000,40.49,84215,84215,1
CA,37.38,-121.96,95054,Santa Clara,SkyPilot Networks,2000-01-01,2022-04-26,2001-01-01,2008-04-01,1,8.25,,,6,4,68400000,32.57,67750,67750,1
CA,37.78,-122.42,94103,San Francisco,Zencoder,2007-01-01,2022-04-26,2010-02-01,2011-04-12,3.09,4.28,3.64,4.67,7,2,2000000,48.78,101468.42,101468,1
MA,42.54,-71.51,1460,Littleton,Akorri Networks,2005-01-01,2022-04-26,2005-05-05,2010-03-23,0.34,5.22,3,6.03,5,4,48730000,45.78,95215.79,95216,1
TX,30.27,-97.74,78701,Austin,BlackLocus,2010-01-01,2022-04-26,2011-07-01,2011-07-01,1.5,1.5,2.08,2.08,5,1,2500000,40.72,84692.73,84693,1
CA,37.78,-122.39,94107,San Francisco,CastTV,2006-01-01,2022-04-26,2006-01-01,2007-04-01,0,1.25,1,5.44,4,2,3100000,40.82,84910,84910,1
NY,40.75,-73.99,10001,New York,Venmo,2009-04-04,2022-04-26,2010-05-07,2011-08-01,1.09,2.33,2.83,4.69,8,2,1200000,33.07,68780,68780,1
NY,40.75,-73.97,10017,New York,WeShow,2007-06-01,2008-12-02,2007-06-01,2007-06-01,0,0,0.11,0.11,2,1,5000000,38.47,80030,80030,0
CA,32.89,-117.17,92121,San Diego,Tapioca Mobile,2008-01-01,2012-07-09,2007-09-01,2008-03-25,-0.33,0.23,,,5,2,5000000,32.57,67750,67750,0
NY,40.73,-74,10012,New York,BestVendor,2011-01-01,2022-04-26,2011-03-18,2012-02-01,0.21,1.08,0.16,2.65,3,4,4200000,44.28,92095.55,92096,1
CO,39.94,-105.06,80021,Broomfield,ColdSpark,2001-01-01,2022-04-26,2006-01-01,2006-01-01,5,5,5.5,5.5,3,1,6500000,42.79,89003.69,89004,1
CA,37.39,-122.09,94040,Mountain View,Wander (f. YongoPal),2010-01-01,2013-07-01,2010-04-01,2011-01-01,0.25,1,1.16,1.16,3,5,185000,32.57,67750,67750,0
OR,45.52,-122.67,97214,Portland,CrowdCompass,2009-04-01,2022-04-26,2011-12-11,2011-12-11,2.7,2.7,3.22,4,5,1,1300000,28.63,59550,59550,1
NY,40.75,-73.98,10011,New York,Right Media,2003-01-01,2022-04-26,2006-10-17,2006-10-17,3.79,3.79,,,21,1,45000000,57.19,118953.34,118953,1
CO,39.62,-104.88,80111,Greenwood Village,TrenStar,2001-01-01,2022-04-26,2007-04-06,2007-04-06,6.26,6.26,1,1,2,1,10000000,42.79,89003.69,89004,1
WA,47.6,-122.33,98109,Seattle,World Blender,2010-01-01,2011-02-01,2010-11-01,2010-11-01,0.83,0.83,0.67,0.67,3,1,12000,30.24,62890,62890,0
MD,38.99,-76.94,20742,College Park,Zymetis,2006-01-01,2012-12-07,2010-01-11,2010-01-31,4.03,4.08,,,3,2,2257464,43.05,89546,89546,0
CA,34.05,-118.24,90015,Los Angeles,HauteLook,2007-12-01,2022-04-26,2009-05-12,2010-06-03,1.45,2.51,2.5,3.64,15,2,41000000,46.76,97270,97270,1
TX,32.97,-96.82,75001,Addison,Semantra,2003-01-01,2010-04-25,2006-09-01,2008-07-22,3.67,5.56,,,0,3,9100000,41.18,85661.05,85661,0
CA,38.22,-122.26,94558,Napa,Inertia Beverage Group,2004-10-22,2013-01-16,2007-04-02,2012-01-01,2.44,7.2,-2.06,6.88,6,3,25500100,48.78,101468.42,101468,0
MA,42.45,-71.22,2421,Lexington,StreamBase Systems,2003-01-01,2022-04-26,2005-01-24,2012-05-18,2.07,9.38,7.01,7.01,13,5,39000000,45.78,95215.79,95216,1
CA,39.78,-100.45,94043,Mountain View,MAP Pharmaceuticals,2003-01-01,2022-04-26,2007-03-28,2007-03-28,4.24,4.24,,,1,1,50000000,45.62,94894,94894,1
MA,42.38,-71.27,2451,Waltham,Navic Networks,2000-01-03,2022-04-26,2000-02-14,2001-02-26,0.12,1.15,,,7,3,42000000,45.25,94116.66,94117,1
CA,33.69,-117.83,92618,Irvine,Integrien,2001-01-01,2022-04-26,2005-05-16,2010-05-11,4.37,9.36,4,9.36,5,3,24510540,61.65,128220,128220,1
CA,37.44,-122.16,94301,Palo Alto,Generic Media,2000-01-01,2011-01-28,2005-08-26,2005-08-26,5.65,5.65,,,0,1,2500000,48.78,101468.42,101468,0
FL,28.04,-82.51,33618,Tampa,Persystent Technologies,2002-01-01,2022-04-26,2005-08-08,2009-12-03,3.6,7.93,8.59,9.11,1,3,21460663,36.92,76793.69,76794,1
NY,40.73,-73.99,10013,New York,WireImage,2001-01-01,2022-04-26,2006-05-08,2006-05-08,5.35,5.35,,,6,1,15000000,38.47,80030,80030,1
CA,37.78,-122.42,94110,San Francisco,Hello Chair,2006-01-01,2013-07-01,2007-06-01,2010-04-12,1.41,4.28,1.33,5.18,5,2,889999,32.57,67750,67750,0
CA,37.57,-122.28,94404,Foster City,Encentuate,2001-01-01,2022-04-26,2005-03-22,2005-03-22,4.22,4.22,3,3,6,1,16000000,48.78,101468.42,101468,1
NY,40.73,-73.99,10004,New York,Triples Media,2010-06-01,2013-07-01,2011-03-01,2011-03-01,0.75,0.75,,,3,2,100000,57.19,118953.34,118953,0
NY,40.74,-74,10011,New York,RightsFlow,2007-10-01,2022-04-26,2009-08-26,2009-08-26,1.9,1.9,1.9,4,13,1,1500000,30.18,62775,62775,1
CA,37.48,-122.23,94063,Redwood City,Zenprise,2003-01-01,2022-04-26,2005-06-06,2012-01-01,2.43,9.01,8.58,10.01,10,6,64630000,32.57,67750,67750,1
CA,37.78,-122.42,94111,San Francisco,Vontu,2001-01-01,2022-04-26,2005-03-21,2006-08-11,4.22,5.61,5,5,9,2,20000000,48.78,101468.42,101468,1
TX,30.41,-97.75,78759,Austin,NextIO,2003-01-01,2013-07-01,2005-01-11,2012-05-17,2.03,9.38,9.01,9.01,10,4,49600000,31.54,65606.66,65607,0
CA,34.15,-118.65,91302,Calabasas,Emergent Game Technologies,2000-01-01,2022-04-26,2007-07-05,2009-12-10,7.51,9.95,0.42,0.42,3,5,51450000,40.82,84910,84910,1
NY,40.75,-73.99,10001,New York,Sonar.me,2010-01-01,2013-07-17,2012-01-01,2012-01-01,2,2,1.03,3.16,8,1,200000,33.07,68780,68780,0
OH,39.1,-84.5,45202,Cincinnati,StyleZen,2011-09-01,2013-04-01,2011-09-01,2011-09-01,0,0,0,0,2,1,20000,30.67,63800,63800,0
MA,42.49,-71.13,1864,North Reading,Kiva Systems,2003-01-01,2022-04-26,2003-01-01,2006-05-24,0,3.39,6.98,9.22,13,2,11600000,37.2,77373.34,77373,1
OH,39.1,-84.5,45202,Cincinnati,Transactiv,2009-07-01,2013-07-19,2009-10-13,2009-10-13,0.28,0.28,0,0.28,2,1,1200000,43.73,90970,90970,0
CA,37.79,-122.4,94104,San Francisco,Peanut Labs,2005-01-01,2022-04-26,2006-02-01,2008-02-19,1.08,3.13,5.92,7.93,16,2,4200000,61.65,128220,128220,1
TX,33,-96.68,75082,Richardson,AppTrigger,2002-01-01,2022-04-26,2007-12-13,2007-12-13,5.95,5.95,,,1,1,21500000,33.52,69717.5,69718,1
CA,34.05,-118.24,90064,Los Angeles,NextMedium,2004-01-01,2011-12-24,2005-02-01,2006-07-24,1.09,2.56,4,4,7,2,9500000,48.78,101468.42,101468,0
NJ,40.35,-74.06,7701,Red Bank,Kurani Interactive,2000-01-01,2013-06-01,2010-11-25,2010-11-25,10.91,10.91,9.25,9.25,5,1,275000,44.75,93073.69,93074,0
CA,37.43,-122.14,94306,Palo Alto,Kapow Software,2005-01-01,2022-04-26,2005-02-01,2010-01-13,0.08,5.04,1.83,1.83,10,3,19743770,48.78,101468.42,101468,1
MA,42.36,-71.06,2110,Boston,Locately,2008-07-01,2022-04-26,2010-08-01,2012-07-07,2.08,4.02,2.5,2.5,5,5,1178000,45.78,95215.79,95216,1
PA,40.6,-75.36,18015,Bethlehem,Ciclon Semiconductor Device Corporation,2004-01-01,2022-04-26,2005-08-02,2007-03-07,1.59,3.18,,,1,3,24150000,48.62,101120,101120,1
